 
7.16800000e+05, 8.84880000e+06
7.14000000e+05, 8.85010000e+06  
7.10600000e+05, 8.85000000e+06  
7.07700000e+05, 8.85120000e+06  
7.05200000e+05, 8.85370000e+06  
7.02600000e+05, 8.85610000e+06  
7.00200000e+05, 8.85870000e+06  
6.98200000e+05, 8.86130000e+06  
6.97000000e+05, 8.86430000e+06  
6.96200000e+05, 8.86730000e+06  
6.93800000e+05, 8.86990000e+06  
6.91300000e+05, 8.87240000e+06  
6.88800000e+05, 8.87490000e+06  
6.85800000e+05, 8.87600000e+06  
6.82600000e+05, 8.87640000e+06  
6.79800000e+05, 8.87640000e+06  
6.76500000e+05, 8.87640000e+06  
6.73300000e+05, 8.87610000e+06  
6.73300000e+05, 8.87330000e+06  
6.72900000e+05, 8.87010000e+06  
6.72500000e+05, 8.86690000e+06  
6.72600000e+05, 8.86360000e+06  
6.72200000e+05, 8.86040000e+06  
6.71300000e+05, 8.85730000e+06  
6.71400000e+05, 8.85400000e+06  
6.71300000e+05, 8.85070000e+06  
6.73600000e+05, 8.84840000e+06  
6.76100000e+05, 8.84600000e+06  
6.79200000e+05, 8.84520000e+06  
6.81800000e+05, 8.84320000e+06  
6.84600000e+05, 8.84160000e+06  
6.87000000e+05, 8.83960000e+06  
6.89300000e+05, 8.83710000e+06  
6.91700000e+05, 8.83450000e+06  
6.94900000e+05, 8.83390000e+06  
6.97700000e+05, 8.83230000e+06  
7.00100000e+05, 8.82970000e+06  
7.02600000e+05, 8.82720000e+06  
7.05200000e+05, 8.82900000e+06  
7.07300000e+05, 8.83180000e+06  
7.09400000e+05, 8.83470000e+06  
7.11500000e+05, 8.83760000e+06  
7.13300000e+05, 8.84080000e+06  
7.14900000e+05, 8.84430000e+06  
7.16400000e+05, 8.84780000e+06  
7.16800000e+05, 8.84880000e+06

